Owner,TableName,SCD2  By Adam,NR_OF_COLUMN_ON_PREPROD,PrimaryKey_Column,Primary_Key,Data Availabilty in Database(UAT),Incremental Identifie,Extraction_Mechanism,Insert_Mechanism,HistoricalData_Identification,Merge_Key,Comments
NC-TOMS,POC_PRICE_KEY_CONDITION_SET,Y,21729,"PRICE_KEY_ID,CONDITION_SET_ID",DEFINED,YES,,,SCD-2,,"PRICE_KEY_ID,CONDITION_SET_ID",
NC-TOMS,PRICE_STRUCTURE_CONDITION_SETS,Y,325,"PRICE_ID,CONDITION_SET_ID",DEFINED,YES,,,SCD-2,,"PRICE_ID,CONDITION_SET_ID",
NC-TOMS,R_AM_SERZD_SHIP_LINE_REC_ITEMS,Y,31304,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_AM_SI_MODEL,Y,table doesnt exists on VHTMTRDB,OBJECT_ID,DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_CIM_CUST_INTERACT_CONTACTS,Y,272,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_CPM_CUST_INC_TKT_MS_MK,Y,Empty,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_CPM_CUST_INC_TKT_MS_TG,Y,Empty,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_CPM_CUST_PROBL_TKT_MS_MK,Y,Empty,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_CPM_CUST_PROBL_TKT_MS_TG,Y,Empty,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_CPM_NON_CUST_PROBL_TKT_MS_MK,Y,Empty,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_CPM_NON_CUST_PROBL_TKT_MS_TG,Y,Empty,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_CPM_PROBL_TKT_MS_MK,Y,Empty,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_CPM_PROBL_TKT_MS_TG,Y,Empty,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_PIM_OFFERING_CUST_CATEGORY,Y,600,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-RBM-CUSTOM,VFHU_CALCULATEETF,,Empty,,NOT DEFINED,YES,,,TRUNCATE LOAD,,,
NC-TOMS,POC_DISCOUNT,,,DISCOUNT_ID,DEFINED,YES,,,SCD-2,,DISCOUNT_ID,
NC-TOMS,POC_PRICE_ALTERATION,,,PRICE_ALTERATION_ID,DEFINED,YES,,,SCD-2,,PRICE_ALTERATION_ID,
NC-TOMS,POC_PRICE_KEY_TO_TOP,,,"PRICE_KEY_ID,OBJECT_ID",DEFINED,YES,,,SCD-2,,"PRICE_KEY_ID
OBJECT_ID
PRICE_KEY_ID
OBJECT_ID
",
NC-TOMS,PRICE_PLAN,,,ID,DEFINED,YES,,,SCD-2,,ID,
NC-TOMS,R_OE_BPI_SUSPEND_REASON,,,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_OE_ORDER_ITEM_SUSPEND_REASON,,,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_OM_PORTING_FTP_RJCTN_CODE,,,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_OM_PORTING_FTP_RJCTN_REASON,,,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_OM_PORTING_KRA_RJCTN_CODE,,,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_OM_PORTING_KRA_RJCTN_RSN,,,OBJECT_ID,NOT DEFINED,YES,,,SCD-2,,OBJECT_ID,
NC-TOMS,R_WFM_WIO,,,OBJECT_ID,DEFINED,YES,,,SCD-2,,OBJECT_ID,
